pair,ema_slope,roc,turnover,atr_pct,z_trend,z_liq,z_vol,score
BTC/USDT:USDT,-0.0006773565342209631,0.011605552808805264,241801717371.4912,0.0046433857354970754,0.5688660262022891,1.0,0.889072677044389,0.7782578810521273
ETH/USDT:USDT,-0.00033464016401207886,0.011374982573933545,197185848703.91455,0.005888990150415929,0.5694122240816664,0.8152676895822668,0.9086132353448331,0.7279691165476383
ONDO/USDT:USDT,0.06113128307323645,0.20908876854250047,2922094744.0942497,0.02464927916018127,0.9323282993052681,0.010917283075458101,0.7970826366849872,0.6220935787812549
XPL/USDT:USDT,0.051585430456480674,0.2357362487188246,1104715822.01585,0.02751732687689566,0.939530346290322,0.0033924131758832497,0.752089817981335,0.6118288342787436
FET/USDT:USDT,0.04043527907535238,0.1734222678296562,1004838323.3978,0.02072672720657553,0.8443838834241089,0.0029788697073938686,0.8586181083145953,0.5955209355317159
ZEC/USDT:USDT,0.004093653404311226,0.03404517894510928,54565306763.044174,0.012831312379396467,0.6048968523863169,0.2247463568683555,0.982478309746792,0.5852470680710473
NBIS/USDT:USDT,0.020987304002081153,0.08406921773258413,1080780864.1905,0.011538489121880923,0.6998585651787537,0.003293310318741276,0.9972403810886943,0.5652344426982351
SUI/USDT:USDT,0.014463006528609101,0.08236167055331767,7778180167.9494095,0.013621693141514254,0.6827034090008901,0.031023938100345372,0.9700791233143016,0.5590434963090796
WLD/USDT:USDT,0.01635473888684036,0.08976261127596441,4245768435.7308,0.014552923369737025,0.6953312751491818,0.01639796308007924,0.9554703451598758,0.5566860490311245
ENA/USDT:USDT,0.018958073362084438,0.09664890703580142,5860238367.337339,0.017143733718923224,0.7090534579715015,0.02308268691203674,0.9148267186061237,0.5547055418123177
LINK/USDT:USDT,0.017785454165985426,0.07861300106566116,3976971154.51485,0.013971495791158974,0.6863211868786023,0.01528500609244328,0.9645915552010513,0.5545779247233669
BROCCOLI714/USDT:USDT,0.0774342140435329,0.21381847914963203,285392659.87326,0.04604391422829529,0.975708662251727,0.0,0.4614519108638673,0.554431875729244
DASH/USDT:USDT,0.017828880566590044,0.07294832826747721,3100627258.67265,0.013026201704053157,0.680144652707104,0.011656498177342317,0.9794209617115923,0.5544172835992975
LTC/USDT:USDT,0.03709528571861709,0.06089410366849868,2851824752.8854103,0.016801633846209772,0.7118561148848443,0.010626329694593494,0.9201934485464373,0.5535715127431673
SOL/USDT:USDT,0.004670834400219981,0.02857394831995763,42051199844.6057,0.0066273822895572855,0.6001833541057475,0.17293161128798565,0.9201968444511167,0.5520112038467613
TRUMP/USDT:USDT,0.010427695022017458,0.07558733401430029,2948675976.41168,0.012081299916482534,0.6657553977491504,0.01102734285029597,0.9942442139793842,0.5514591853370525
SOXL/USDT:USDT,0.0026779277175976723,0.06174281126842773,18214170267.63,0.013309053941103292,0.6322820843119481,0.07423422673048938,0.974983685669303,0.5505431273768493
XLM/USDT:USDT,0.011692313205952765,0.07318917284137294,1840014239.5815198,0.01209407387217847,0.666055928851673,0.006436921320182197,0.9940438211235031,0.5501671996601832
XRP/USDT:USDT,0.003403048556206434,0.045879702328121885,26724517343.82234,0.00843410853058402,0.6163974119593298,0.10947137720615224,0.9485400640342176,0.5473552645520985
AAVE/USDT:USDT,0.010574418840458844,0.06808823529411767,2252085515.465,0.011239975319593781,0.6577874299167537,0.00814310526603146,0.992557412493517,0.5465866281657279
NEAR/USDT:USDT,0.023240588528889994,0.12481997119539123,11575352966.61,0.02638722560916803,0.7502936379505234,0.04674615813327523,0.7698184077671026,0.5441105864594937
INTC/USDT:USDT,0.013235199805351927,0.0727901484480431,2674691749.0705,0.008840252066284585,0.6692230621972086,0.009892909276630378,0.9549114860865571,0.5428461222933723
ADA/USDT:USDT,0.008078849690463574,0.05446808510638301,4618129778.0562,0.01045981064018708,0.6368542570967575,0.01793972777350117,0.9803184919989337,0.5370459570253246
FIL/USDT:USDT,0.010439108781578055,0.03683336791865521,3190191865.76792,0.011394084343888387,0.6228313012933301,0.012027341047704039,0.9949750150146589,0.5326260416499745
1000PEPE/USDT:USDT,-0.0016249643614837384,0.04768168365669179,6931250985.355583,0.011714399832647965,0.606632196755839,0.027517222007323087,1.0,0.5312396551423245
DOGE/USDT:USDT,0.004285218199862717,0.036247565462021125,12387977548.774681,0.00924154978576236,0.6077858840166581,0.050110835792787446,0.9612068888559842,0.5288386207593284
META/USDT:USDT,0.015224778447477494,0.06899497141282618,1434145468.9677,0.005595027568090756,0.6696712333804962,0.004756418889969884,0.9040016645208421,0.5287793968184248
UNI/USDT:USDT,-0.003033421375721268,0.04401946361887532,9440856721.809,0.01112189066509268,0.5992784890232611,0.03790826178258468,0.9907049462947545,0.5287240351689315
CL/USDT:USDT,0.01052535356314599,0.011192836584585919,20346297346.340797,0.008099043651966106,0.5946158058641688,0.0830623135327238,0.9432836963490637,0.5283167307859591
RAYSOL/USDT:USDT,0.024641694379894385,0.06091879164370528,2332330188.10252,0.020160022607636312,0.6827500221119849,0.008475358883807963,0.8675083499692244,0.5266572051078418
HYPE/USDT:USDT,0.0009624802585019854,0.02343801507592902,14667549325.07905,0.009520121951440539,0.5858160473164874,0.05954941837732407,0.96557702080086,0.5228763020058316
BCH/USDT:USDT,-0.00043446547166603455,0.032238387165644866,3925711019.5716205,0.011181824485911259,0.5923014877003707,0.015072763151911469,0.9916451647989978,0.5189687896104898
INJ/USDT:USDT,0.015660072790965707,0.05767984445884644,1715969697.5372,0.019376709353788237,0.6581490542674813,0.005923314042527425,0.8797966640768186,0.5178932346523295
TAO/USDT:USDT,0.0033598795362657086,0.054660448024874686,4111271395.27789,0.01659022530336383,0.626028073879505,0.015841077161027985,0.9235099436609493,0.5173424423093229
AVAX/USDT:USDT,-0.0008643853123005973,0.03120974933121956,3909703283.0699997,0.010752746461517039,0.5901557163151381,0.015006483009065081,0.9849139553951993,0.5163005060933314
AMD/USDT:USDT,0.007645242737196023,0.048225887056471795,1056199547.5755,0.007015637879927026,0.628921701469316,0.0031915312085947826,0.9262876473643253,0.515544136864852
